17.120.254.12,"APPLE-ENGINEERING, US"
17.248.128.144,"APPLE-ENGINEERING, US"
17.248.128.143,"APPLE-ENGINEERING, US"
17.248.128.173,"APPLE-ENGINEERING, US"
184.31.189.217,"NTT-COMMUNICATIONS-2914, US"
157.240.22.19,"FACEBOOK, US"
23.197.96.254,"CMCS, US"
35.241.26.53,"GOOGLE, US"
52.0.64.246,"AMAZON-AES, US"
35.241.52.229,"GOOGLE, US"
192.48.236.10,"MOPUB, US"
54.164.236.38,"AMAZON-AES, US"
185.151.204.11,
35.241.22.100,"GOOGLE, US"
52.45.237.202,"AMAZON-AES, US"
52.86.94.253,"AMAZON-AES, US"
34.236.18.92,"AMAZON-AES, US"
54.173.115.145,"AMAZON-AES, US"
100.25.74.172,"AMAZON-AES, US"
54.174.9.153,"AMAZON-AES, US"
3.224.194.242,"AMAZON-AES, US"
172.217.0.46,"GOOGLE, US"
23.1.246.10,"AKAMAI-AS, US"
131.188.3.222,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
52.4.56.26,"AMAZON-AES, US"
52.207.121.22,"AMAZON-AES, US"
172.217.164.98,"GOOGLE, US"
99.84.230.63,"AMAZON-02, US"
185.151.204.9,
13.35.126.23,"AMAZON-02, US"
52.170.163.3,"MICROSOFT-CORP-MSN-AS-BLOCK, US"
96.16.191.105,"GTT-BACKBONE GTT, DE"
52.186.47.249,"MICROSOFT-CORP-MSN-AS-BLOCK, US"
192.48.236.11,"MOPUB, US"
34.192.139.29,"AMAZON-AES, US"
104.114.76.147,"AKAMAI-ASN1, EU"
35.245.101.217,"GOOGLE, US"
104.45.180.93,"MICROSOFT-CORP-MSN-AS-BLOCK, US"
35.244.185.185,"GOOGLE, US"
34.206.182.127,"AMAZON-AES, US"
35.227.198.107,"GOOGLE, US"
74.119.117.137,"AS-CRITEO, US"
35.226.249.111,"GOOGLE, US"
52.6.73.195,"AMAZON-AES, US"
209.197.3.85,"HIGHWINDS3, US"
69.16.175.42,"HIGHWINDS3, US"
18.233.123.55,"AMAZON-AES, US"
13.227.74.52,"AMAZON-02, US"
104.123.71.145,"AKAMAI-ASN1, EU"
185.151.204.10,
52.6.228.148,"AMAZON-AES, US"
35.190.5.180,"GOOGLE, US"
35.244.205.3,"GOOGLE, US"
13.35.126.55,"AMAZON-02, US"
13.227.74.130,"AMAZON-02, US"
47.252.19.126,"CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN"
104.17.136.29,"CLOUDFLARENET, US"
3.227.136.214,"AMAZON-AES, US"
47.253.1.59,"CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN"
209.197.3.24,"HIGHWINDS3, US"
13.227.74.43,"AMAZON-02, US"
13.227.74.98,"AMAZON-02, US"
13.227.74.2,"AMAZON-02, US"
23.1.100.29,"AKAMAI-AS, US"
17.120.254.10,"APPLE-ENGINEERING, US"
34.242.29.131,"AMAZON-02, US"
99.80.171.164,"AMAZON-02, US"
54.76.135.221,"AMAZON-02, US"
52.213.2.61,"AMAZON-02, US"
172.217.164.106,"GOOGLE, US"
17.57.144.117,"APPLE-ENGINEERING, US"
192.48.236.12,"MOPUB, US"
185.151.204.7,
23.197.99.219,"CMCS, US"
192.48.236.9,"MOPUB, US"
104.114.76.169,"AKAMAI-ASN1, EU"
23.197.50.248,"CMCS, US"
47.246.25.226,"TAOBAO Zhejiang Taobao Network Co.,Ltd, CN"
152.195.55.192,"EDGECAST, US"
161.117.95.31,"CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN"
47.246.24.228,"TAOBAO Zhejiang Taobao Network Co.,Ltd, CN"
47.246.24.227,"TAOBAO Zhejiang Taobao Network Co.,Ltd, CN"
74.125.28.188,"GOOGLE, US"
172.230.190.84,"AKAMAI-AS, US"
13.35.126.16,"AMAZON-02, US"
151.101.42.110,"FASTLY, US"
35.193.74.215,"GOOGLE, US"
107.178.251.134,"GOOGLE, US"
185.151.204.50,
17.248.128.138,"APPLE-ENGINEERING, US"
17.248.128.151,"APPLE-ENGINEERING, US"
99.84.230.12,"AMAZON-02, US"
13.227.74.125,"AMAZON-02, US"
99.84.230.122,"AMAZON-02, US"
13.227.74.39,"AMAZON-02, US"
13.35.126.112,"AMAZON-02, US"
13.227.74.97,"AMAZON-02, US"
34.198.89.33,"AMAZON-AES, US"
104.17.135.29,"CLOUDFLARENET, US"
47.252.92.64,"CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN"
23.197.50.51,"CMCS, US"
99.84.230.28,"AMAZON-02, US"
34.206.108.66,"AMAZON-AES, US"
50.16.71.72,"AMAZON-AES, US"
3.223.139.240,"AMAZON-AES, US"
63.251.109.85,"DOUBLE-VERIFY, US"
52.200.140.31,"AMAZON-AES, US"
52.202.97.234,"AMAZON-AES, US"
184.28.219.17,"AKAMAI-ASN1, EU"
151.101.130.110,"FASTLY, US"
52.37.140.170,"AMAZON-02, US"
192.243.232.99,"OMNITURE, US"
52.203.42.29,"AMAZON-AES, US"
54.218.180.161,"AMAZON-02, US"
54.215.192.91,"AMAZON-02, US"
151.139.128.14,"HIGHWINDS3, US"
23.212.31.85,"AKAMAI-AS, US"
185.151.204.14,
184.51.48.27,"AKAMAI-AS, US"
23.198.107.92,"AKAMAI-AS, US"
23.212.17.172,"AKAMAI-AS, US"
162.247.242.21,"NEWRELIC-AS-1, US"
17.120.254.9,"APPLE-ENGINEERING, US"
17.248.128.239,"APPLE-ENGINEERING, US"
